评论者,评论内容,评论日期
Lyao偶然,若不是你突然闯进我生活,07:52
夏天em,大爱,07:52
雾危,只有网易云可以听我的心事,07:52
一曲繁花落丶,第一次和你看电影，虽然是班集体电影，但是当你叫我过去坐在你旁边时，我内心是多么开心。,07:52
中二青年多多酱,太太太好听,07:51
叶淽,我也喜欢江西 但我想离开江西,07:51
大西西西瓜呀,我宁愿自己没有情感 不然会很难过,07:51
Be-a--Loity,我的青春也许很糟糕，没有考上大学，上了一所普普通通的中专学校，我以为每天也会荒废的生活，那一段时间真的很颓废，可当我真正坚持下了，回忆起来也是挺美好的，因为有一群志同道合的兄弟，还有一个闯进我心里的那一个人，所以生活是美好的，要以乐观的心态过好每一天。,07:50
又犯迷糊,沿着绿色一路向前，像是跟着绿色的疏散标志，逃离了过往,07:50
wo东鹏,绿色很干净脏的是感情,07:50
她走之后TEl,黑色没有灵魂的人,07:49
潮濕廢柴,有情人难成眷属，真正寒了心的，扛不住孤独的大男大女,07:49
苦厄都是我,爱我的话你都说 爱我的事你都不做,07:48
uuuu4啊,在我灰色的心里即使有绿色我也已经没有感觉,07:47
止罪,若不是你突然闯进我生活,07:46
万丈红尘劫作伴,唉，珍惜当下,07:46
_小摆摆,若不是你突然闯进我生活,07:45
深度精神患者,听这首歌的第2天，突然在他哪里发现，算来我才是第三者……头顶一片青青草原……得不到的热情就应该适可而止吧。,07:43
鱼玄清,不再对你抱有期望了，往后余生再无你,07:42
在风中的蔷薇,祝遥远的那个她能幸福,07:42
阿yo_,可记忆不能删除,07:42
x文乐,人的忍耐也是有限的呀，你怎么没想想我的感受？生而为人，那你也不重要了,07:42
Mr南笙北执,幸好你给的失望够多 我的离开也算值得,07:42
樂兒真可爱,我很喜欢绿色 你们呢,07:42
湖边淡风,中国有14亿人口，网易云音乐有2亿用户，而你偏偏在这首歌的评论里面看到了我，然后你花了15秒钟来读我这一段话，你好 陌生人，。 愿你卡里有钱。车里有油。心里有爱。脚底有风。有空来上海找我喝酒 管醉。。,07:41
你来时的九月惊鸿一瞥,他走的那天，我唱绿色,07:41
徐思寒先生,我和你分手已经要到两年了，我以为我已经忘记你了，可是前几天做梦梦到你过的不好，我开始找你的联系方式，却发现你早就开始讨厌我了，我却还厚着脸找朋友找你的QQ微信，就是想看看你过的好不好而已💔,07:40
祖宗味的小阿晶,我懂你的苦衷 我理解你的难处 我也尊重你这样对我的理由 没关系 我没有生气 我只是很失望,07:40
Backwhy,太好听了,07:40
你来时的九月惊鸿一瞥,绿色 代表着解脱,07:40
乞力马扎罗的你和我,替他说一句 对不起,07:39
渔乡o,越来越不喜欢被人凶，被人指责或被人利用了。只想跟温柔的人在一起，他对你的关怀，细水长流又舒服，像是被冬天下午三点的阳光，晒到浑身发一点点微热。喜欢温柔的人，喜欢跟他们在一起。,07:39
很酷的老司机,加油 陈雪凝 我在你背后顶你,07:38
终极推拿之达摩祖师,除了帽子，我想整个变成绿色,07:37
大奥特曼_,没有一条定律是你很好他就要爱你 ​​​,07:37
终极推拿之达摩祖师,微信头像、名字、相册背景全绿色,07:37
孙金铎,我觉得也是,07:37
春夏秋冬SQLN,让我感觉从来没有被选择,07:36
顾长情,现在我还在学校，我还能留个念想，可是马上我就要毕业了,07:36
渔乡o,可能是真的年纪大了 发现自己越来越喜欢温柔的人了说话温柔 做事温柔 跟你相处也温柔，像是天冷的时候帮你顺手立一立围巾，接到了一杯稍烫的水会先晾一晾再递给你，还要嘱咐你千万小心，而不是迅速递给你，看你握着杯沿的手被烫的通红通红。“温柔”对成年人来说是极珍贵，极美好的品质。,07:35
别动我開枪,男同胞们进我歌单 你们懂的,07:35
我超喜欢羽羽的,啊我死了,07:34
顾长情,她给我唱的第一首歌就是白山茶，因此喜欢上了陈雪凝，正像歌词里的你说你喜欢白山茶，却怡然自得的收起他的红玫瑰。你说你喜欢我，可你转眼就能喜欢上别人,07:34
手腕疼痛,“奶奶 我谈恋爱了”“是吗 有空带回来吃饭”“可是 她也是女孩子”“女孩子也要吃饭的呀”,07:33
陈悦越,祝你快乐。,07:33
毋睨,绿色本来就是干净的颜色,07:33
刘育琳,加油吧 你委曲求全的样子挺可怜的.,07:33
和女生说话会害羞,若不是你突然闯进我的生活，我怎会把死守的寂寞放任了,07:33
手写墨言,我还记得那天，踏入校门，转眼看见的你，决定跟我漂泊的瞬间我爱你,07:32
T时笙,被放弃的感觉真好,07:32
淡水鱼儿,忍着，就做认为对的事，不合适，再喜欢有什么用。过段时间就好了。,07:32
顾长情,我爱一个女孩，她是我的学妹，也是她向我表白的，按照道理分手后应该是我能更洒脱，可是为什么她有了新欢而我依然念念不忘,07:31
你裙下的人间太美妙i,绿只是一种健康美丽的颜色，而弄脏它的 是爱情,07:31
我是柚子大哥,我真的好喜欢好喜欢你 我们不要错过好不好,07:30
用户1769799255,[多多大笑][多多大笑],07:29
薛爆他,我不会再让任何人再突然闯进我生活了哪怕你真的不会再回来了再见,07:29
阿念叔叔_,生活不允许普通人内向,07:29
我喜欢你少年wgx,是我闯进他的生活,07:28
我是柚子大哥,我真的好喜欢 好喜欢你 我们一定不要错过好不好,07:27
飞过天空的青鱼,如果不是你闯入我的生活，我怎么会相信自己也会对爱情那么沉溺呢可是你突然走了，我喜欢的绿色。永远都没有了,07:27
不念旧R,故事很短通过验证顶置聊天特别关心聊的火热取消顶置修改备注删除好友此生不见,07:27
春夏秋冬SQLN,先招惹我的是你 最后先离开的还是你,07:27
7ZHONG颜色的瞳孔,还有三天就是她生日了，做了很多让她失望的事情才让她一步一步的离开我，好好生活，才不辜负她爱过我。,07:27
清风与酒Zyd,不主动删除，不主动拉黑，不主动打扰，这是我给你，最后的温柔，也仅此而已，,07:26
归晚xyz,后知后觉: 当真是爱我的话你都说，爱我的事你不做！真心枉付，所谓的爱情不过是我讨好你的独角戏罢了，该转身了，再也不见！,07:26
黄琳开心快乐,刘先生，你是有多混蛋才把我这么好的女孩弄得这么狼狈,07:25
R的小酒馆,改变我是你，放弃我的也是你,07:25
内涵的绅士,绿色多么纯洁的颜色只是爱情玷污了她,07:24
英俊潇洒小艹艹,你说你喜欢绿色，我便把手指甲脚趾甲都做成了绿色，新买了一条绿色的裙子，等着你来拥抱我,07:24
倾她城做她王脱她衣上她床_377,绿色很干净 是爱情脏了它,07:24
我叫木灵,还有今天，明天，后天就可以回家，坚持坚持,07:23
八千岁为椿丶,脏的不是绿色，是爱情。,07:23
Luckywbb,缘分这东西就是很奇怪，如果无缘再见，即使你们生活在同一个城市也不曾重逢，如果有缘，远隔千里也会有重逢那一天。,07:22
我可能上了个假Q,如不是你突然闯进我的生活，又怎样会有故事呢？,07:22
全国儿童代表,嗯,07:21
5j9的同桌,我只有一颗心,07:21
你是朝夕,过得比他更好，没有谁离不开谁，这是你必须要进入的状态，交给时间,07:20
相逢别错过-,喜欢就讲出来 同意就在一起 不合适就分开 现在的状态就是这样 现实教会我的东西 ,07:20
百万想见你,黄粱一梦,07:20
密密爱你,绿色很干净，是爱情脏了它,07:19
你是朝夕,如果努力过后还是没有结果，那么分开是最好的选择，走不进就走不进了，不甘心也不甘心了，没有办法,07:19
ChinrnQuan_,毕竟花花世界灯红酒绿纸醉金迷 你也不会记得我在你的世界出现过,07:19
寻欢0,总该长大总该试着去成熟放弃一些曾经你以为不可分离的东西即使这个过程漫长且难熬当做睡前关上的灯吧天总会亮的,07:18
嘟嘟淅淅,我也会为你加油的！,07:18
南南和木木,后来我和她同时喜欢上了绿色,07:18
無論--,能不能别总关心我，我会当真的,07:17
我没有故事么,我懂,07:17
念无可念念而不念,爱情本也纯洁奈何是人脏了他。,07:17
念无可念念而不念,春天的绿色，夏天的蓝色，秋天的黄色，冬天的白色，我以为人世间本纯洁，奈何所罗门的恶鬼也因人性的扭曲而逃跑。,07:16
摩了个羯i1808,昵称好可爱～,07:16
苷厡,我把我的心给你换来的只是在你心里的一个角落蜷缩💚,07:15
你好哇塞hm,一个被“定位”了的颜色 绿色 喜欢的颜色,07:14
猫者看戏,他撩你全程只靠嘴，你却因此走了心,07:14
小姐姐or小可爱,要想生活过得去，身上总得带点绿,07:12
吻你爱夜,以前给你聊天聊的那么多 现在你生气了我却不知道说什么,07:12
摩了个羯i1808,生日块落,07:11
牵紧你左手,绿色本是纯净的颜色，可惜被爱情污染了。,07:11
微光独静,可是她不喜欢我啊,07:11
吻你爱夜,王梦菡喜欢你我从来都没有后悔过,07:11
老二Music,我电台有原版 白山茶,07:10
电势能减小,开始那两句我以为听到了阿肆的声音,07:10
离离白桦,我也是啊😔,07:09
繁华丶似槿,什么不适合，什么累了，不过是借口，你永远不会承认你爱上了别人,07:09
初衷beflying,绿人先绿己..,07:08
LLOVUYOU蛋炒饭,爱是一道光，绿到你发慌啊,07:08
蓝色渐入海,你很好，只是不爱我,07:08
Dekka_1,分手后，看山像你，看云像你，看海也像你，我也像你。再见吧,07:08
吃鸡的小鸭子,在cpt直播间听了一天,07:07
peaceyoooo,绿色是干净的 人是脏的,07:07
过来抱我一下嘛,愿岁岁平安 即使生生不见,07:07
伊污音,我靠，为什么我听过的歌好听的，大多抖成了抖音烂大街的歌呢，抖音真的是毁歌神器！,07:07
昨夜又梦见了你-,若不是你突然闯进我生活，我怎会把死守的寂寞放任了！,07:07
--以后_,若不是你 突然闯入我生活,07:07
你知道2018年世界百大DJ第15吗,绿色是最纯洁的，是爱情污了它💚💚💚💚💚💚💚💚💚,07:07
芩木,你还要扰乱我多久呢，李某某 很多年了,07:06
肥先生7,梦想终究还是输给了现实,07:06
陈姣饿死了,你多做一件让我失望的事 我就少爱你一次.,07:05
粉哒哒哒哒哒哒,真实,07:05
_想不出来的名字_,忘了我和记得我 我都害怕,07:05
吹个泡泡121,在一起三年 分分合合无数次 最后我以为是时间和距离 结果是不喜欢了😌,07:04
覺覺覺覺覺_,之前说着过不去的坎 之后也是一样 过不去的,07:04
Joker590588,我也是有人给我分享了才过来听的,07:04
中二青年多多酱,有点好听,07:04
给自己取一个昵称哈哈哈盖茨比,绿色在生活中本是富有生机，清新淡雅但到了爱情中却没有给我清新的感觉呢？同是绿色差距怎么这么大,07:03
蔡徐坤的女人绝不认输1998,"你会等一个人很久吗？"“不会。”“为什么？”“凭什么？”,07:03
wazsi,如果我能成为他的合法丈夫 什么苦我都受得了 什么伤我都承得住,07:03
覺覺覺覺覺_,有过你 以后的那些都不算什么,07:02
大冈瓜,绿色其实很干净，脏了他的是爱情。,07:02
杳Y_,期待每次学校的集体活动里看到你的身影 因为年级不同哈哈哈虽然几率很小但仍是期待 虽然是建立在你曾伤害过我的基础上..仍是期待多看你几眼呐,07:02
越来越开朗的女孩子,有人给我分享了这首歌？？？,07:00
www-free,人一旦有了隔阂就回不去了,07:00
九儿的小可爱,曾经我以为， 就算全世界都离开我，你也不会走。 而如今你走了， 我的全世界也没了。 ​​​,06:59
婷崽小朋友,爱我的话你都说 爱我的事你都不做,06:58
静静o3o,笑死我了小姐姐太可爱了！！,06:57
江北陈伟庭,强行伤感，最为致命。,06:57
小茜茜ds,失望攒够了，转身离开，才发现对的人在前方，,06:56
我还真没找到,日推,06:55
Charon-07,去陪你喜欢的人吧 至少你快乐,06:55
clehoo,你不能把对我的亏欠给下一任，没人能配得上这份亏欠 ​​​,06:53
佳麟_,你是伤害我有多深才让我觉得所有的歌词都是为我写的💔,06:53
十年知舟yz,任阳，我喜欢你从来没有说过，也不会有人知道,06:52
李夷吾,一片赤诚 真好,06:52
拥入怀丶,有故事的人呐,06:52
二狗还没睡,3.21日，今早是被外面刮风的声音吵醒的，最近每天晚上都会梦到你，梦到你主动找我说话，梦到一些有趣的事，我想主动跟你讲这些有趣的事，可是又怕你觉得这没什么。梦里的我很开心，可我知道那只是梦而已。最近都挺冷的，出门记得多穿一点❤️,06:51
楚乔别睡Ye,你这么关心我 我以为你很爱我,06:50
呜呜呜我的头像挂件不免费,哈哈哈哈哈,06:49
怕是个猪头三,2019-03-20删去所以关于你的消息 以后努力过好自己的生活 再见,06:49
林575,我以为我给你的都是真心 你觉得那是假的,06:47
i5也许,她说你好严肃都不爱笑后来我一想到她就笑成傻子当你卸下伪装就一文不值 任人宰割,06:47
许小梦呀,若当初没有同意你的好友请求，若当初不乱着给你打qq电话，若当初你不用小号加我，若当初我不那么自信地给你告白，我们肯定还是沙雕朋友，忘了吧，黄舒心，在春分这一天！,06:47
我的余生将与你同甘共苦,做个恶人 不碰感情 自带杀气 ​​​​,06:45
Whistlt,绿色很好的,06:45
淡然处之h,这首歌说很像我，是你闯进我的世界，而到最后放不下的却只有我。,06:44
-0423,很喜欢绿色 也很喜欢他 他走了他离得开我,06:43
一颗巧克腻,我却把甜言蜜语当做你爱我的躯壳,06:43
cruel-Emotional,觉得曲子和假装很相似，能连在一起了,06:42
blackolda,本来已经决定注销账号 到了最后一步还是没忍心点下去确定删除 你看 我还是放不下 心软的结果就是我又要难过好久 也不想忘了你,06:41
原来是17阿,一半期待 一半恐惧,06:40
只不过是自作自受罢了,差点没忍住，又要找你了😂,06:39
您所拨打的电话号码是空号,动荡的感情世界，也不全是男男女女，有的人付出了却不问对方需不需要，不问自己对方值不值得如此,06:39
A简单1506,我现在最爱的是绿色,06:38
ZHY5201314SL,我说不去打扰你了SL，那是都是假的，毕竟我都心也是肉做的。,06:35
芒嘎嘎嘎嘎,我总是太早或太晚表达爱意,06:33
气质得体101,00后都这么厉害了……,06:33
Flaky云,朋友高考加油啊❤,06:32
想给你生猴子,在一起586天 分开的第四天 不负遇见 这几天我过得很好 希望你也是,06:32
一Bereavement,其实 习惯 不甘心比较多,06:31
一只傻浅笑q,一样,06:31
一个无聊的胖子,走好不送 沉穩樣,06:30
一个无聊的胖子,石膏淚,06:29
-謎-_,还有78天👊🏻,06:29
一个无聊的胖子,賣後悔藥咯,06:29
想给你生猴子,586天 不负遇见,06:29
ifoneofyou,幸好思念无声 怕你震耳欲聋,06:28
你的温柔x,我瞒着所有人继续爱你依旧,06:27
我的眼睛只看向我喜欢的男孩子,好,06:27
FeNGZihAO,哎呀，大智障，早上看见你朋友圈发这首歌，算了一下时间你又熬夜了。没有什么事情是忘不了过不去的，时间问题。刚好昨晚梦到你了，别不开心了，我在陪着你啊,06:26
少女的名字叫千寻,看过评论里面太多的经历和故事，不知道什么时候开始变得很冷血。应该是在哪个夏天 他和她抱在一起，他哭的撕心力歇 她不知道全是因她而伤心 只能在一旁本能安慰,06:25
不触摸感情,[多多可怜][多多可怜][多多可怜][多多可怜],06:25
子亦慕君,以前我有一个长辈告诉我，如果少年时代碰见一个女姓，明明长的很漂亮，但你却根本不想去窥视她地身体，更不敢在脑中幻想那些与有关的事情，那就证明你喜欢上了她。而且是真正的那种喜欢。,06:23
死白_,您配吗,06:21
zhangandyy,意外而已😔,06:21
妖月很酸呐,抱抱，不难过，会过去的,06:20
yo猪强,一晚上没睡，一直听这首,06:20
灬沫筱涛,啤酒支持汽水,06:20
aka大猪蹄子,长大了还要你嘛,06:20
邓岳舟的小宝贝,人生建议 不要陪一个男孩子长大,06:15
七柒-萤,听来听去还是你的最好听，干净♡,06:14
此帐号已经注消,忘不了,06:12
奶嘴嘴啊,她最喜欢的颜色——绿色,06:12
南墙有风-,[多多大笑],06:10
丢丢好困,我们家小雪凝一下子又多了这么多的小宝贝虽然有点自己的小宝贝被别人抢走的感觉但是104.5万的小宝贝都是和大宝贝雪凝一样感同身受的呢❤,06:09
能哥--,我把这首歌分享到朋友圈，只对你可见，许久，你回复我好好的。这是分手两个月来你对我说的最多的三个字，你知道没有你我不会好好的，但我还是会努力好好的。,06:08
忘了是谁只记得她,绿色很干净脏的是感情,06:08
啊花呐,以前我总在想，能陪自己到最后的是什么人，现在我明白了，真正能陪我走到最后的人，不是我强撑着睡意和她聊天到深夜，不好告诉她我很困很累。而是，我随时和她说我很累的时候，她都可以安心让我去睡觉休息。因为我永远不必担心，我们过了今晚就不会没有明天,06:06
认识刘华强吗,您配吗,06:06
可乐崽崽,终于等到你还好我没放弃,06:06
sinsin妹妹,有一个让你一直无法忘记的人是什么一种体验？ 年少时，不能遇到太过惊艳的人，否则余生都无法安宁度过。,06:05
湘湘_RI,从一开始的红色 一片赤诚后来变成粉色 两眼带星然后是白色 一汪平静可是 最后 却变成了绿色感情带伤,06:04
关楠楠屁事嘛,说过会好好在一起.可转眼就爱上别人了.,06:00
关楠楠屁事嘛,是啊.,05:58
LIFElikeAbullshit,整,05:58
音悦网友,别再翻评论了，其实你也有故事，只是没说出来而已。,05:57
我的意中人在哪捡瓶子,你说你喜欢我，等我放下了坚硬的保护壳，你告诉我不爱了，,05:56
孟思思啊,真实,05:55
萌屁桃,都很真实的喧嚣着,05:54
萌屁桃,无数次被梦中的你以无数次不同的方式背叛气醒难过的痕迹留在了枕头上醒来的无助和焦灼煎熬,05:53
林林几许丶,火前留名,05:53
L大梦大遗,你说你喜欢绿色 那我祝你被绿,05:49
子鹤是你爹,赵公子你在吗？,05:48
豆芽的璨星星,睡醒啦……,05:48
小黎的舔狗,时间会让你习惯的 我体会过你的难受 也许她还会回来 也许你永远失去了,05:46
她才是苏丽珍,Me too,05:44
去体院馆也花钱,我是有多么爱你，你也答应做我的女朋友，可是我总觉得走不进你心里,05:44
释然om,南京,05:44
前人_,最近爱上了绿色,05:42
爱是陈锐,我也一样。,05:39
15762592967,若不是你突然闯进我生活 我怎会把死守的寂寞放任了 爱我的话你不说 爱我的事你不做 哈哈 💔,05:38
违心的悲伤,若不是你突然说，你爱我我又何必现在那么多的痛苦💔,05:37
LHN919,在一起1049天 分开的第四天，这四天的崩溃是从来没有过的状态，泪流不止 心脏绞着难受，睡不着觉，这也让我知道我多难受你也不会哄我也不会多看我一眼了。就这么一句话就把我撒手不管了。 你微信发不停 看到消息时的微笑 我只能说我羡慕她 你肯定会知道怎样宠她了。 再见 再也不要见了,05:33
来自终瑜,有些人相识一天就能恋爱，有些人认识了好几年都不敢表白，有些人在一起了好多年却没能走到最后，有些人分分合合兜兜转转还是会地老天荒。人生就是这么奇妙，遇到错的人做什么都好像是错的，遇到对的人怎样都是对的。,05:22
起名为难我啊,你在我左侧，却像隔着银河,05:15
笑yyyyyy,我很喜欢你 但是 我再也不会对你有任何期待了 祝你开心 也祝你 错过了我,05:14
你會潮噴嗎,哭着吃过饭的人 是能够走下去的,05:12
Weason-Chan,若不是你突然闯进了我的生活,05:11
能猜到我是谁吗,每时每刻在想你 时间永远在我身上凌迟,05:10
小人物9999,谁的新欢不是别人的旧爱,05:09
MissLori_,绿 一抹不染尘世的清凉与沧桑,05:09
MissLori_,记得要开心 开心是自己的 没人可以借 ​​.,05:08
十一月花满楼,你像一把烧的通红的刀，悬在我冰冷的心上。,05:03
请你加油xm,绿色是干净的颜色 无关爱情,05:02
维尼不在拥有小熊,瓦塔西瓦,05:01
AdamYD,爱我的话你都说 爱我的事你不做,04:59
十一月花满楼,百般挽留，抵不上你一句累了。,04:55
文穆清,忘不了就一直记得 每个人心里都有忘不掉的人，只是不被提起,04:55
关上所有的灯-,好 随你删 我知道 是我在别人身上渴求太多了,04:53
吴阿怪vi,我也是，前两天刚分手，之后过了一天发现她把我的所有全删了，唉，希望以后为了自己好好过下去吧,04:52
清-秀-猪,异地恋最长126天，最后因为你的你句心情不好分了 然后看见你换上了情头 为什么不直接告诉我 分手伤心一次 明白了为什么更伤心 还不如一次了断！,04:50
药水哥_刘波,没有药酱的世界没有了快乐,04:50
黄千嬅,没钱，没工作，女朋友也不要我了，最废的22岁,04:49
均哥cci,睡吧，晚了,04:44
阿璇de小可爱,喜欢又怕受伤,04:44
